Species2_eBird,Sex,mean_Tarsus.Length,mean_Tail.Length,Family2,Order2,Wire.Tails
Abeillia abeillei,F,7.55,28.5,Trochilidae,Caprimulgiformes,N
Abeillia abeillei,M,5.533333333,30,Trochilidae,Caprimulgiformes,N
Abroscopus albogularis,F,15.05,38.5,Scotocercidae,Passeriformes,N
Abroscopus albogularis,M,15.43333333,38.83333333,Scotocercidae,Passeriformes,N
Abroscopus schisticeps,F,16.43333333,47.33333333,Scotocercidae,Passeriformes,N
Abroscopus schisticeps,M,16.8,48,Scotocercidae,Passeriformes,N
Abroscopus superciliaris,F,16.3,39.5,Scotocercidae,Passeriformes,N
Abroscopus superciliaris,M,16.76666667,44.33333333,Scotocercidae,Passeriformes,N
Aburria aburri,F,63.13333333,280.4166667,Cracidae,Galliformes,N
Aburria aburri,M,68.5,300.3333333,Cracidae,Galliformes,N
Acanthagenys rufogularis,F,25,113,Meliphagidae,Passeriformes,N
Acanthagenys rufogularis,M,25.16666667,112.3333333,Meliphagidae,Passeriformes,N
Acanthidops bairdi,F,20.4,47,Thraupidae,Passeriformes,N
Acanthidops bairdi,M,21.1,53.83333333,Thraupidae,Passeriformes,N
Acanthis cabaret,M,14.2,58,Fringillidae,Passeriformes,N
Acanthis hornemanni,M,16.8,65,Fringillidae,Passeriformes,N
Acanthisitta chloris,F,17.76666667,24.33333333,Acanthisittidae,Passeriformes,N
Acanthisitta chloris,M,18.26666667,22.66666667,Acanthisittidae,Passeriformes,N
Acanthiza apicalis,F,18.8,45.6,Acanthizidae,Passeriformes,N
Acanthiza apicalis,M,19.16,44.6,Acanthizidae,Passeriformes,N
Acanthiza chrysorrhoa,F,18.08,39.5,Acanthizidae,Passeriformes,N
Acanthiza chrysorrhoa,M,17.85,38.5,Acanthizidae,Passeriformes,N
Acanthiza cinerea,M,19.225,36.125,Acanthizidae,Passeriformes,N
Acanthiza ewingii,F,21.16666667,49.83333333,Acanthizidae,Passeriformes,N
Acanthiza ewingii,M,22.8,39,Acanthizidae,Passeriformes,N
Acanthiza inornata,F,17.24,36.8,Acanthizidae,Passeriformes,N
Acanthiza inornata,M,17.3,36.83333333,Acanthizidae,Passeriformes,N
Acanthiza iredalei,F,16.98,39.6,Acanthizidae,Passeriformes,N
Acanthiza iredalei,M,18,42,Acanthizidae,Passeriformes,N
Acanthiza katherina,F,18.35,42.25,Acanthizidae,Passeriformes,N
Acanthiza katherina,M,18.6,45,Acanthizidae,Passeriformes,N
Acanthiza lineata,F,17.07777778,38.88888889,Acanthizidae,Passeriformes,N
Acanthiza lineata,M,17.025,39,Acanthizidae,Passeriformes,N
Acanthiza murina,F,18.1,37.5,Acanthizidae,Passeriformes,N
Acanthiza murina,M,18.05,32.75,Acanthizidae,Passeriformes,N
Acanthiza nana,F,17.075,37.3125,Acanthizidae,Passeriformes,N
Acanthiza nana,M,17.38,37.4,Acanthizidae,Passeriformes,N
Acanthiza pusilla,F,18.42,44.1,Acanthizidae,Passeriformes,N
Acanthiza pusilla,M,19,45.3,Acanthizidae,Passeriformes,N
Acanthiza reguloides,F,16.54285714,38.78571429,Acanthizidae,Passeriformes,N
Acanthiza reguloides,M,16.86666667,39.08333333,Acanthizidae,Passeriformes,N
Acanthiza robustirostris,F,19.08,40.7,Acanthizidae,Passeriformes,N
Acanthiza robustirostris,M,19.1,40.5,Acanthizidae,Passeriformes,N
Acanthiza uropygialis,F,18,38.5,Acanthizidae,Passeriformes,N
Acanthiza uropygialis,M,18.05,43,Acanthizidae,Passeriformes,N
Acanthorhynchus superciliosus,F,20.1,54.5,Meliphagidae,Passeriformes,N
Acanthorhynchus superciliosus,M,19.76666667,58.66666667,Meliphagidae,Passeriformes,N
Acanthorhynchus tenuirostris,F,17.36666667,53.33333333,Meliphagidae,Passeriformes,N
Acanthorhynchus tenuirostris,M,18.53333333,60.83333333,Meliphagidae,Passeriformes,N
Acanthornis magna,F,22.05,48.25,Acanthizidae,Passeriformes,N
Acanthornis magna,M,22.46666667,48.33333333,Acanthizidae,Passeriformes,N
Accipiter albogularis,F,59.55,165.5,Accipitridae,Accipitriformes,N
Accipiter badius,F,46.2,152.25,Accipitridae,Accipitriformes,N
Accipiter badius,M,40.88333333,132.8333333,Accipitridae,Accipitriformes,N
Accipiter bicolor,F,59.8,197.5,Accipitridae,Accipitriformes,N
Accipiter bicolor,M,56.28,171.7,Accipitridae,Accipitriformes,N
Accipiter brachyurus,F,61.25,140.825,Accipitridae,Accipitriformes,N
Accipiter brevipes,F,47.65,164.5,Accipitridae,Accipitriformes,N
Accipiter brevipes,M,45.1,142.5,Accipitridae,Accipitriformes,N
Accipiter butleri,M,48.7,127,Accipitridae,Accipitriformes,N
Accipiter castanilius,F,54.4,150.5,Accipitridae,Accipitriformes,N
Accipiter castanilius,M,50.75,123.5,Accipitridae,Accipitriformes,N
Accipiter cirrocephalus,F,63.95,166.5,Accipitridae,Accipitriformes,N
Accipiter cirrocephalus,M,57.93333333,148,Accipitridae,Accipitriformes,N
Accipiter collaris,F,49.5,131,Accipitridae,Accipitriformes,N
Accipiter collaris,M,42.475,122.75,Accipitridae,Accipitriformes,N
Accipiter cooperii,F,63.55,204.5,Accipitridae,Accipitriformes,N
Accipiter cooperii,M,61.03333333,177.6666667,Accipitridae,Accipitriformes,N
Accipiter erythrauchen,F,62.3,172,Accipitridae,Accipitriformes,N
Accipiter erythrauchen,M,51,103,Accipitridae,Accipitriformes,N
Accipiter erythropus,F,44.4,103,Accipitridae,Accipitriformes,N
Accipiter erythropus,M,42,105.3333333,Accipitridae,Accipitriformes,N
Accipiter fasciatus,F,74.425,212,Accipitridae,Accipitriformes,N
Accipiter fasciatus,M,64.5,182,Accipitridae,Accipitriformes,N
Accipiter francesiae,F,51.15,146,Accipitridae,Accipitriformes,N
Accipiter francesiae,M,47.3375,122.875,Accipitridae,Accipitriformes,N
Accipiter gentilis,F,72.4,258.75,Accipitridae,Accipitriformes,N
Accipiter gentilis,M,62.225,223.375,Accipitridae,Accipitriformes,N
Accipiter griseiceps,F,53.16666667,144.3333333,Accipitridae,Accipitriformes,N
Accipiter griseiceps,M,48.5,132,Accipitridae,Accipitriformes,N
Accipiter gularis,M,43.85,107,Accipitridae,Accipitriformes,N
Accipiter gundlachi,M,71.3,223,Accipitridae,Accipitriformes,N
Accipiter haplochrous,F,60.7,163.3333333,Accipitridae,Accipitriformes,N
Accipiter haplochrous,M,53.4,130,Accipitridae,Accipitriformes,N
Accipiter henicogrammus,F,67.05,198.5,Accipitridae,Accipitriformes,N
Accipiter henicogrammus,M,63.73333333,184.3333333,Accipitridae,Accipitriformes,N
Accipiter henstii,F,79.85,263.5,Accipitridae,Accipitriformes,N
Accipiter henstii,M,70.2,226.5,Accipitridae,Accipitriformes,N
Accipiter hiogaster,F,53.825,144.975,Accipitridae,Accipitriformes,N
Accipiter hiogaster,M,49.05,130,Accipitridae,Accipitriformes,N
Accipiter imitator,F,49.6,161,Accipitridae,Accipitriformes,N
Accipiter luteoschistaceus,M,51.5,146,Accipitridae,Accipitriformes,N
Accipiter madagascariensis,F,65.05,176,Accipitridae,Accipitriformes,N
Accipiter madagascariensis,M,50.9,123,Accipitridae,Accipitriformes,N
Accipiter melanochlamys,F,63.65,179.5,Accipitridae,Accipitriformes,N
Accipiter melanochlamys,M,62.06666667,155,Accipitridae,Accipitriformes,N
Accipiter melanoleucus,F,81.4,237.5,Accipitridae,Accipitriformes,N
Accipiter melanoleucus,M,72.13333333,207.3333333,Accipitridae,Accipitriformes,N
Accipiter meyerianus,F,76.5,220,Accipitridae,Accipitriformes,N
Accipiter meyerianus,M,74.3,180,Accipitridae,Accipitriformes,N
Accipiter minullus,F,43.8,110.5,Accipitridae,Accipitriformes,N
Accipiter minullus,M,38.35,89.5,Accipitridae,Accipitriformes,N
Accipiter nanus,M,46.6,112.6,Accipitridae,Accipitriformes,N
Accipiter nisus,F,59.25,177,Accipitridae,Accipitriformes,N
Accipiter nisus,M,51.48181818,147.7272727,Accipitridae,Accipitriformes,N
Accipiter novaehollandiae,F,71.44,194,Accipitridae,Accipitriformes,N
Accipiter novaehollandiae,M,64.9,166.3333333,Accipitridae,Accipitriformes,N
Accipiter ovampensis,F,53.75,166,Accipitridae,Accipitriformes,N
Accipiter ovampensis,M,46.56666667,147.6666667,Accipitridae,Accipitriformes,N
Accipiter poliocephalus,F,65.3,174.5,Accipitridae,Accipitriformes,N
Accipiter poliocephalus,M,55.35,140,Accipitridae,Accipitriformes,N
Accipiter poliogaster,F,60.65,194.5,Accipitridae,Accipitriformes,N
Accipiter poliogaster,M,46.9,161.3333333,Accipitridae,Accipitriformes,N
Accipiter princeps,F,67.5,206.9,Accipitridae,Accipitriformes,N
Accipiter princeps,M,68.6,177.7,Accipitridae,Accipitriformes,N
Accipiter rhodogaster,F,57.9,131,Accipitridae,Accipitriformes,N
Accipiter rhodogaster,M,50.4,122.3333333,Accipitridae,Accipitriformes,N
Accipiter rufitorques,F,60.9,157,Accipitridae,Accipitriformes,N
Accipiter rufitorques,M,58,138.6666667,Accipitridae,Accipitriformes,N
Accipiter rufiventris,F,57.15,171.5,Accipitridae,Accipitriformes,N
Accipiter rufiventris,M,52.16666667,162,Accipitridae,Accipitriformes,N
Accipiter soloensis,F,38.75,121.5,Accipitridae,Accipitriformes,N
Accipiter soloensis,M,39.96666667,124.6666667,Accipitridae,Accipitriformes,N
Accipiter striatus,F,53.3125,139.75,Accipitridae,Accipitriformes,N
Accipiter striatus,M,48.07,128.1,Accipitridae,Accipitriformes,N
Accipiter superciliosus,F,36.2,109,Accipitridae,Accipitriformes,N
Accipiter superciliosus,M,38.13333333,101.6666667,Accipitridae,Accipitriformes,N
Accipiter tachiro,F,67.65,189,Accipitridae,Accipitriformes,N
Accipiter tachiro,M,64.46666667,165.6666667,Accipitridae,Accipitriformes,N
Accipiter toussenelii,F,64.25,178.5,Accipitridae,Accipitriformes,N
Accipiter toussenelii,M,59.45,149,Accipitridae,Accipitriformes,N
Accipiter trinotatus,F,49,121.5,Accipitridae,Accipitriformes,N
Accipiter trinotatus,M,47.4,122.5,Accipitridae,Accipitriformes,N
Accipiter trivirgatus,F,57.62222222,172,Accipitridae,Accipitriformes,N
Accipiter trivirgatus,M,57.175,179,Accipitridae,Accipitriformes,N
Accipiter virgatus,F,53.48888889,129.8888889,Accipitridae,Accipitriformes,N
Accipiter virgatus,M,44.2,116.2,Accipitridae,Accipitriformes,N
Aceros nipalensis,F,70.15,444.5,Bucerotidae,Bucerotiformes,N
Aceros nipalensis,M,83.8,484,Bucerotidae,Bucerotiformes,N
Achaetops pycnopygius,F,24.05,79.5,Macrosphenidae,Passeriformes,N
Achaetops pycnopygius,M,24.36666667,79.33333333,Macrosphenidae,Passeriformes,N
Acridotheres albocinctus,F,34.85,78.75,Sturnidae,Passeriformes,N
Acridotheres albocinctus,M,38,82,Sturnidae,Passeriformes,N
Acridotheres burmannicus,F,30.6,52,Sturnidae,Passeriformes,N
Acridotheres burmannicus,M,32.7,76,Sturnidae,Passeriformes,N
Acridotheres cinereus,F,35.75,75.5,Sturnidae,Passeriformes,N
Acridotheres cinereus,M,36.25,82.5,Sturnidae,Passeriformes,N
Acridotheres cristatellus,F,38.2,80.5,Sturnidae,Passeriformes,N
Acridotheres cristatellus,M,38.4375,79,Sturnidae,Passeriformes,N
Acridotheres fuscus,F,36.7,75,Sturnidae,Passeriformes,N
Acridotheres fuscus,M,34.5,72.25,Sturnidae,Passeriformes,N
Acridotheres ginginianus,F,32.6,61,Sturnidae,Passeriformes,N
Acridotheres ginginianus,M,34.9,71,Sturnidae,Passeriformes,N
Acridotheres grandis,F,36.1,76,Sturnidae,Passeriformes,N
Acridotheres grandis,M,36.63333333,77.66666667,Sturnidae,Passeriformes,N
Acridotheres javanicus,F,37.6,68,Sturnidae,Passeriformes,N
Acridotheres javanicus,M,35.33333333,71.33333333,Sturnidae,Passeriformes,N
Acridotheres melanopterus,F,37.4,68,Sturnidae,Passeriformes,N
Acridotheres melanopterus,M,35.95,74.5,Sturnidae,Passeriformes,N
Acridotheres tristis,F,37.6,77.75,Sturnidae,Passeriformes,N
Acridotheres tristis,M,38.98888889,82.77777778,Sturnidae,Passeriformes,N
Acrobatornis fonsecai,F,16.9,51.8,Furnariidae,Passeriformes,N
Acrobatornis fonsecai,M,17.05,55.35,Furnariidae,Passeriformes,N
Acrocephalus aequinoctialis,M,24.5,63.5,Acrocephalidae,Passeriformes,N
Acrocephalus agricola,F,21.05,56.75,Acrocephalidae,Passeriformes,N
Acrocephalus agricola,M,21.06666667,53.66666667,Acrocephalidae,Passeriformes,N
Acrocephalus arundinaceus,F,27.75,76,Acrocephalidae,Passeriformes,N
Acrocephalus arundinaceus,M,28.4,84,Acrocephalidae,Passeriformes,N
Acrocephalus atyphus,M,28.1,78.2,Acrocephalidae,Passeriformes,N
Acrocephalus australis,F,23.4,65,Acrocephalidae,Passeriformes,N
Acrocephalus australis,M,24.2,67.5,Acrocephalidae,Passeriformes,N
Acrocephalus baeticatus,F,19.85,48,Acrocephalidae,Passeriformes,N
Acrocephalus baeticatus,M,20.96666667,50,Acrocephalidae,Passeriformes,N
Acrocephalus bistrigiceps,F,19.55,48.5,Acrocephalidae,Passeriformes,N
Acrocephalus bistrigiceps,M,20.46666667,51.66666667,Acrocephalidae,Passeriformes,N
Acrocephalus brevipennis,F,26.65,57.5,Acrocephalidae,Passeriformes,N
Acrocephalus brevipennis,M,26.175,63.5,Acrocephalidae,Passeriformes,N
Acrocephalus caffer,F,31.1,84.5,Acrocephalidae,Passeriformes,N
Acrocephalus caffer,M,31.9,80,Acrocephalidae,Passeriformes,N
Acrocephalus concinens,F,23.2,53.5,Acrocephalidae,Passeriformes,N
Acrocephalus concinens,M,21.26666667,57.66666667,Acrocephalidae,Passeriformes,N
Acrocephalus dumetorum,F,22,53.25,Acrocephalidae,Passeriformes,N
Acrocephalus dumetorum,M,22.46666667,53,Acrocephalidae,Passeriformes,N
Acrocephalus familiaris,F,20.5,55,Acrocephalidae,Passeriformes,N
Acrocephalus familiaris,M,22.2,58,Acrocephalidae,Passeriformes,N
Acrocephalus gracilirostris,F,22,54.25,Acrocephalidae,Passeriformes,N
Acrocephalus gracilirostris,M,24.43333333,62.66666667,Acrocephalidae,Passeriformes,N
Acrocephalus griseldis,F,23.95,64,Acrocephalidae,Passeriformes,N
Acrocephalus griseldis,M,24.3,64,Acrocephalidae,Passeriformes,N
Acrocephalus hiwae,M,30.3,81.5,Acrocephalidae,Passeriformes,N
Acrocephalus kerearako,M,27.2,77,Acrocephalidae,Passeriformes,N
Acrocephalus luscinius,M,29.7,71,NA,NA,N
Acrocephalus melanopogon,F,18.25,49.5,Acrocephalidae,Passeriformes,N
Acrocephalus melanopogon,M,19.5,46.66666667,Acrocephalidae,Passeriformes,N
Acrocephalus mendanae,F,29.5,84,Acrocephalidae,Passeriformes,N
Acrocephalus mendanae,M,30.325,87.5,Acrocephalidae,Passeriformes,N
Acrocephalus newtoni,F,23.6,73,Acrocephalidae,Passeriformes,N
Acrocephalus newtoni,M,26.9,78.33333333,Acrocephalidae,Passeriformes,N
Acrocephalus orientalis,F,25.65,69,Acrocephalidae,Passeriformes,N
Acrocephalus orientalis,M,26.75,69.5,Acrocephalidae,Passeriformes,N
Acrocephalus orinus,F,23.05,59.25,Acrocephalidae,Passeriformes,N
Acrocephalus orinus,M,20.45,51.5,Acrocephalidae,Passeriformes,N
Acrocephalus paludicola,F,19.15,46,Acrocephalidae,Passeriformes,N
Acrocephalus paludicola,M,19.6,48.5,Acrocephalidae,Passeriformes,N
Acrocephalus palustris,F,21.1,55.25,Acrocephalidae,Passeriformes,N
Acrocephalus palustris,M,21.54,57.5,Acrocephalidae,Passeriformes,N
Acrocephalus percernis,M,30.03333333,93.33333333,Acrocephalidae,Passeriformes,N
Acrocephalus rehsei,F,27.9,66,Acrocephalidae,Passeriformes,N
Acrocephalus rimitarae,M,29.4,85,Acrocephalidae,Passeriformes,N
Acrocephalus rodericanus,F,23,73,Acrocephalidae,Passeriformes,N
Acrocephalus rodericanus,M,23.2,75.75,Acrocephalidae,Passeriformes,N
Acrocephalus rufescens,F,27,68.5,Acrocephalidae,Passeriformes,N
Acrocephalus rufescens,M,28.36666667,69.33333333,Acrocephalidae,Passeriformes,N
Acrocephalus schoenobaenus,F,20.4,48.5,Acrocephalidae,Passeriformes,N
Acrocephalus schoenobaenus,M,21.28,49.3,Acrocephalidae,Passeriformes,N
Acrocephalus scirpaceus,F,21.425,50.75,Acrocephalidae,Passeriformes,N
Acrocephalus scirpaceus,M,21.94,53.3,Acrocephalidae,Passeriformes,N
Acrocephalus sechellensis,F,23.85,60,Acrocephalidae,Passeriformes,N
Acrocephalus sechellensis,M,24.03333333,61,Acrocephalidae,Passeriformes,N
Acrocephalus sorghophilus,F,22.8,58.73333333,Acrocephalidae,Passeriformes,N
Acrocephalus sorghophilus,M,22.025,53.6,Acrocephalidae,Passeriformes,N
Acrocephalus stentoreus,F,26.15,73.5,Acrocephalidae,Passeriformes,N
Acrocephalus stentoreus,M,27.53636364,74.63636364,Acrocephalidae,Passeriformes,N
Acrocephalus syrinx,F,26.6,70,Acrocephalidae,Passeriformes,N
Acrocephalus syrinx,M,26.025,71.75,Acrocephalidae,Passeriformes,N
Acrocephalus taiti,F,28.1,78,Acrocephalidae,Passeriformes,N
Acrocephalus taiti,M,30.9,78,Acrocephalidae,Passeriformes,N
Acrocephalus tangorum,F,22.65,52.5,Acrocephalidae,Passeriformes,N
Acrocephalus tangorum,M,20.5,54,Acrocephalidae,Passeriformes,N
Acrocephalus vaughani,F,27.3,72.66666667,Acrocephalidae,Passeriformes,N
Acrocephalus vaughani,M,28.75,69.5,Acrocephalidae,Passeriformes,N
Acropternis orthonyx,F,35.45,94.55,Rhinocryptidae,Passeriformes,N
Acropternis orthonyx,M,36.4,88,Rhinocryptidae,Passeriformes,N
Acryllium vulturinum,F,87.43333333,268.3333333,Numididae,Galliformes,N
Acryllium vulturinum,M,99.35,277.25,Numididae,Galliformes,N
Actenoides bougainvillei,F,20.36666667,94.53333333,Alcedinidae,Coraciiformes,N
Actenoides bougainvillei,M,19.6,96.5,Alcedinidae,Coraciiformes,N
Actenoides concretus,F,14.25,59,Alcedinidae,Coraciiformes,N
Actenoides concretus,M,15.55,58,Alcedinidae,Coraciiformes,N
Actenoides hombroni,F,18.6,96.5,Alcedinidae,Coraciiformes,N
Actenoides hombroni,M,16.83333333,95.66666667,Alcedinidae,Coraciiformes,N
Actenoides lindsayi,F,18.65,77.5,Alcedinidae,Coraciiformes,N
Actenoides lindsayi,M,18.03333333,83.66666667,Alcedinidae,Coraciiformes,N
Actenoides monachus,F,22.55,109.9,Alcedinidae,Coraciiformes,N
Actenoides monachus,M,22.325,114.925,Alcedinidae,Coraciiformes,N
Actenoides princeps,F,19.9,86,Alcedinidae,Coraciiformes,N
Actenoides princeps,M,18.95,83,Alcedinidae,Coraciiformes,N
Actinodura cyanouroptera,F,21.7,68.75,Leiothrichidae,Passeriformes,N
Actinodura cyanouroptera,M,22.06666667,70.33333333,Leiothrichidae,Passeriformes,N
Actinodura egertoni,F,27.85,115,Leiothrichidae,Passeriformes,N
Actinodura egertoni,M,29.1,110,Leiothrichidae,Passeriformes,N
Actinodura morrisoniana,F,27.35,81,Leiothrichidae,Passeriformes,N
Actinodura morrisoniana,M,27.9,80,Leiothrichidae,Passeriformes,N
Actinodura nipalensis,F,28.55,82,Leiothrichidae,Passeriformes,N
Actinodura nipalensis,M,31.9,80.33333333,Leiothrichidae,Passeriformes,N
Actinodura ramsayi,F,27.65,124.5,Leiothrichidae,Passeriformes,N
Actinodura ramsayi,M,29.03333333,128,Leiothrichidae,Passeriformes,N
Actinodura sodangorum,F,31,123.5,Leiothrichidae,Passeriformes,N
Actinodura souliei,F,32.9,91,Leiothrichidae,Passeriformes,N
Actinodura souliei,M,32.83333333,87.66666667,Leiothrichidae,Passeriformes,N
Actinodura strigula,F,23.6,68,Leiothrichidae,Passeriformes,N
Actinodura strigula,M,25.3,70,Leiothrichidae,Passeriformes,N
Actinodura waldeni,F,31.6,93,Leiothrichidae,Passeriformes,N
Actinodura waldeni,M,32.66666667,79,Leiothrichidae,Passeriformes,N
Actitis hypoleucos,F,20.4,55.5,Scolopacidae,Charadriiformes,N
Actitis hypoleucos,M,21.43333333,59,Scolopacidae,Charadriiformes,N
Actitis macularius,F,24.73333333,56.33333333,Scolopacidae,Charadriiformes,N
Actitis macularius,M,23.3,48,Scolopacidae,Charadriiformes,N
Actophilornis africanus,F,69.55,52.5,Jacanidae,Charadriiformes,N
Actophilornis africanus,M,63.06666667,43.33333333,Jacanidae,Charadriiformes,N
Actophilornis albinucha,F,67,49,Jacanidae,Charadriiformes,N
Actophilornis albinucha,M,65.96666667,42.33333333,Jacanidae,Charadriiformes,N
Adelomyia melanogenys,F,6.12,35.4,Trochilidae,Caprimulgiformes,N
Adelomyia melanogenys,M,6,34.4,Trochilidae,Caprimulgiformes,N
Aechmophorus clarkii,F,70,34,Podicipedidae,Podicipediformes,N
Aechmophorus clarkii,M,78.43333333,33.33333333,Podicipedidae,Podicipediformes,N
Aechmophorus occidentalis,M,68.9,29.66666667,Podicipedidae,Podicipediformes,N
Aegithalos caudatus,F,15.775,85,Aegithalidae,Passeriformes,N
Aegithalos caudatus,M,15.96,90,Aegithalidae,Passeriformes,N
Aegithalos concinnus,F,15.23333333,47.33333333,Aegithalidae,Passeriformes,N
Aegithalos concinnus,M,15.73333333,46.16666667,Aegithalidae,Passeriformes,N
Aegithalos fuliginosus,F,15.5,56,Aegithalidae,Passeriformes,N
Aegithalos fuliginosus,M,15.65,58,Aegithalidae,Passeriformes,N
Aegithalos glaucogularis,F,15.55,59.5,Aegithalidae,Passeriformes,N
Aegithalos glaucogularis,M,15.9,64,Aegithalidae,Passeriformes,N
Aegithalos iouschistos,F,16.8,52.25,Aegithalidae,Passeriformes,N
Aegithalos iouschistos,M,16.48,54.2,Aegithalidae,Passeriformes,N
Aegithalos leucogenys,F,15.35,52.5,Aegithalidae,Passeriformes,N
Aegithalos leucogenys,M,17.1,49.5,Aegithalidae,Passeriformes,N
Aegithalos niveogularis,F,16.9,56.5,Aegithalidae,Passeriformes,N
Aegithalos niveogularis,M,18.56666667,56.33333333,Aegithalidae,Passeriformes,N
Aegithina lafresnayei,F,20.15,54,Aegithinidae,Passeriformes,N
Aegithina lafresnayei,M,20,58,Aegithinidae,Passeriformes,N
Aegithina nigrolutea,F,18,47.5,Aegithinidae,Passeriformes,N
Aegithina nigrolutea,M,18.03333333,47,Aegithinidae,Passeriformes,N
Aegithina tiphia,F,22.1,49,Aegithinidae,Passeriformes,N
Aegithina tiphia,M,19.38333333,47.29166667,Aegithinidae,Passeriformes,N
Aegithina viridissima,F,17.4,43.66666667,Aegithinidae,Passeriformes,N
Aegithina viridissima,M,17.875,44,Aegithinidae,Passeriformes,N
Aegolius acadicus,F,22.85,77,Strigidae,Strigiformes,N
Aegolius acadicus,M,24.15,79,Strigidae,Strigiformes,N
Aegolius funereus,F,23.9,105.25,Strigidae,Strigiformes,N
Aegolius funereus,M,22.7,98.83333333,Strigidae,Strigiformes,N
Aegolius harrisii,M,27.48,71.1,Strigidae,Strigiformes,N
Aegolius ridgwayi,F,24.6,74.8,Strigidae,Strigiformes,N
Aegolius ridgwayi,M,20.03333333,64.66666667,Strigidae,Strigiformes,N
Aegotheles affinis,F,21.9,121.3,Aegothelidae,Caprimulgiformes,N
Aegotheles affinis,M,19.3,113.6,Aegothelidae,Caprimulgiformes,N
Aegotheles bennettii,F,18.86666667,113.3333333,Aegothelidae,Caprimulgiformes,N
Aegotheles bennettii,M,21,118,Aegothelidae,Caprimulgiformes,N
Aegotheles crinifrons,F,24.45,146.9,Aegothelidae,Caprimulgiformes,N
Aegotheles cristatus,F,23.65,121.5,Aegothelidae,Caprimulgiformes,N
Aegotheles cristatus,M,23.7,121,Aegothelidae,Caprimulgiformes,N
Aegotheles insignis,F,21.45,134,Aegothelidae,Caprimulgiformes,N
Aegotheles insignis,M,21.2,140,Aegothelidae,Caprimulgiformes,N
Aegotheles savesi,M,32.5,149,Aegothelidae,Caprimulgiformes,N
Aegotheles tatei,F,16.1,130.2,Aegothelidae,Caprimulgiformes,N
Aegotheles wallacii,F,18.35,103.5,Aegothelidae,Caprimulgiformes,N
Aegotheles wallacii,M,18.8,101,Aegothelidae,Caprimulgiformes,N
Aegypius monachus,F,134,377,Accipitridae,Accipitriformes,N
Aegypius monachus,M,134.5,365,Accipitridae,Accipitriformes,N
Aepypodius arfakianus,F,81.3,114,Megapodiidae,Galliformes,N
Aepypodius arfakianus,M,84.86666667,136,Megapodiidae,Galliformes,N
Aepypodius bruijnii,M,100,98,Megapodiidae,Galliformes,N
Aerodramus amelis,F,9.8,51.5,Apodidae,Caprimulgiformes,N
Aerodramus amelis,M,9.22,48.7,Apodidae,Caprimulgiformes,N
Aerodramus bartschi,F,8.3,40.3,Apodidae,Caprimulgiformes,N
Aerodramus bartschi,M,8.4,43.2,Apodidae,Caprimulgiformes,N
Aerodramus brevirostris,F,10.06666667,50.33333333,Apodidae,Caprimulgiformes,N
Aerodramus brevirostris,M,9.45,50.75,Apodidae,Caprimulgiformes,N
Aerodramus ceramensis,F,8.1,46,Apodidae,Caprimulgiformes,N
Aerodramus ceramensis,M,7.975,47,Apodidae,Caprimulgiformes,N
Aerodramus elaphrus,M,8.3,47.33333333,Apodidae,Caprimulgiformes,N
Aerodramus fuciphagus,F,8.85,47,Apodidae,Caprimulgiformes,N
Aerodramus fuciphagus,M,8.7,48.5,Apodidae,Caprimulgiformes,N
Aerodramus germani,F,10.15,50.5,Apodidae,Caprimulgiformes,N
Aerodramus germani,M,10.35,49.5,Apodidae,Caprimulgiformes,N
Aerodramus hirundinaceus,F,8.75,48,Apodidae,Caprimulgiformes,N
Aerodramus hirundinaceus,M,8.15,47,Apodidae,Caprimulgiformes,N
Aerodramus infuscatus,M,9.9,49.9,Apodidae,Caprimulgiformes,N
Aerodramus inquietus,F,8.5,47.7,Apodidae,Caprimulgiformes,N
Aerodramus inquietus,M,8.3,52.35,Apodidae,Caprimulgiformes,N
Aerodramus leucophaeus,F,9,58,Apodidae,Caprimulgiformes,N
Aerodramus leucophaeus,M,9.225,57,Apodidae,Caprimulgiformes,N
Aerodramus maximus,F,11.65,46,Apodidae,Caprimulgiformes,N
Aerodramus maximus,M,11.85,46.5,Apodidae,Caprimulgiformes,N
Aerodramus mearnsi,F,8.55,48.5,Apodidae,Caprimulgiformes,N
Aerodramus mearnsi,M,9.35,44.5,Apodidae,Caprimulgiformes,N
Aerodramus orientalis,M,10.9,48.2,Apodidae,Caprimulgiformes,N
Aerodramus papuensis,F,10.8,50.2,Apodidae,Caprimulgiformes,N
Aerodramus papuensis,M,11.35,51.6,Apodidae,Caprimulgiformes,N
Aerodramus pelewensis,F,8.8,50.15,Apodidae,Caprimulgiformes,N
Aerodramus pelewensis,M,9.25,48.6,Apodidae,Caprimulgiformes,N
Aerodramus salangana,F,10.45,50,Apodidae,Caprimulgiformes,N
Aerodramus salangana,M,9.75,51,Apodidae,Caprimulgiformes,N
Aerodramus sawtelli,M,8.5,54,Apodidae,Caprimulgiformes,N
Aerodramus spodiopygius,F,6.8,52,Apodidae,Caprimulgiformes,N
Aerodramus spodiopygius,M,8.2,49.66666667,Apodidae,Caprimulgiformes,N
Aerodramus terraereginae,F,8.75,50,Apodidae,Caprimulgiformes,N
Aerodramus terraereginae,M,8.65,50.5,Apodidae,Caprimulgiformes,N
Aerodramus unicolor,F,9.25,52,Apodidae,Caprimulgiformes,N
Aerodramus unicolor,M,10.4,52.33333333,Apodidae,Caprimulgiformes,N
